A,Mot
Alligator,Ca sau
Alliteration,Phep diep am
Allocate,Chi dinh
Allot,Phan bo
Allotment,Phan bo
Allotropy,Allotropy
Allow,Cho phep
Allowance,Phu cap
Alloy,Hop kim
Allspice,Tieu
Allude,Am chi
Allure,Quyen ru
Allusion,Am chi
Alluvial,Phu sa
Alluvium,Phu sa
Ally,Dong minh
Alma,Alma
Almanac,Almanac
Almighty,Toan nang
Almond,Hanh nhan
Almoner,Almoner
Almost,Hau het
Alms,Bo thi
Almshouse,Nha khat thuc
Aloe,Nha dam
Aloft,Aloft
Alone,Mot minh
Along,Doc theo
Alongside,Doc theo
Aloof,Dung cach xa
Aloud,Lon tieng
Alp,Alp
Alpaca,Alpaca
Alpha,Alpha
Alphabet,Bang chu cai
Alphanumeric,Chu va so
Alpine,Alpine
Already,Da san sang
Alright,Duoc roi
Alsatian,Alsatian
Also-ran,Cung chay
Also,Cung the
Altar,Ban tho
Altarpiece,Ban tho
Alter,Alter
Altercate,Cai lon
Alternate,Luan phien
Alternating,Luan phien
Alternative,Thay the
Alternator,May phat dien
Although,Mac du
Altimeter,May do do cao
Altitude,Do cao
Alto,Cao
Altogether,Toan bo
Altruism,Long vi tha
Alum,Phen chua
Alumina,Alumina
Aluminium,Nhom
Aluminize,Aluminize
Aluminum,Nhom
Alumnus,Sinh vien
Always,Luon luon
Alyssum,Alyssum
Alzheimer's,Benh Alzheimer
Am,La
Amalgam,Hon hong
Amalgamate,Hon hop
Amanuensis,Amanuensis
Amaranth,den
Amaryllis,Amaryllis
Amass,Tich luy
Amateur,Nghiep du
Amatory,Nghiep du
Amaze,Kinh ngac
Amazon,Amazon
Ambassador,Dai su
Amber,Ho phach
Ambergris,Long dien huong
Ambidextrous,Thuan ca hai tay
Ambience,Moi truong xung quanh
Ambient,Moi truong xung quanh
Ambiguous,Mo ho
Ambit,Tham vong
Ambition,Tham vong
Ambitious,Tham vong
Ambivalence,Su mau thuan
Amble,Di thong tha
Ambrosia,phan hoa
Ambulance,Xe cuu thuong
Ambulatory,Xe cuu thuong
Ambuscade,Phuc kich
Ambush,Phuc kich
Ameliorate,Ameliorate
Amen,Amen
Amenable,Chiu trach nhiem
Amend,Sua doi
Amendment,Sua doi
Amends,Sua doi
Amenity,Tien nghi
American,Nguoi My
Americanism,Chu nghia my
Americium,Americium
Amerind,Sua doi
Amethyst,Thach anh tim
Amharic,Amharic
Amiable,De thuong
Amicable,Than thien
Amid,Giua
Amidships,Tau thuyen
Amidst,O giua
Amine,Amin
Amino,Amino
Amir,Amir
Amiss,Thieu sot
Amity,Tinh than
Ammeter,Ampe ke
Ammo,Dan
Ammonia,Amoniac
Ammonite,Amonite
Ammunition,Dan duoc
Amnesia,Chung hay quen
Amnesty,An xa
Amniocentesis,Choc do nuoc oi
Amnion,Amnion
Amoeba,Amip
Amok,Amok
Among,Giua
Amoral,Vo dao duc
Amorous,Ham me
Amorphous,Vo dinh hinh
Amortize,Phan bo
Amount,So luong
Amour,Yeu va quy
Ampelopsis,Ampelopsis
Amperage,Cuong do dong dien
Ampere,Ampe
Ampersand,Ky hieu va
Amphetamine,Amphetamine
Amphibian,Luong cu
Amphibious,Luong cu
Amphitheatre,Giang duong
Amphora,Amphora
Ample,Phong phu
Amplifier,Bo khuech dai
Amplify,Khoa truong
Amplitude,Bien do
Ampoule,Ampoule
Ampulla,Ampulla
Amputate,Cua di
Amuck,Amuck
Amulet,Bua ho menh
Amuse,Giai tri
Amusement,Vui choi giai tri
An-,Mot 
An,Mot
Anabaptist,Anabaptist
Anabolic,Dong hoa
Anabolism,Dong hoa
Anachronism,Anachronism
Anaconda,Anaconda
Anaemia,Thieu mau
Anaemic,Thieu mau
Anaesthesia,Gay te
Anaesthetic,Thuoc me
Anaesthetist,Nguoi gay me
Anaesthetize,Gay me
Anagram,Dao chu cai
Anal,Hau mon
Analgesia,Giam dau
Analgesic,Thuoc giam dau
Analog,Analog
Analogize,Tuong tu hoa
Analogous,Tuong tu
Analogue,Analogue
Analogy,Su giong nhau
Analyse,Phan tich
Analysis,Phan tich
Analyst,Nha phan tich
Analytical,Phan tich
Analyze,Phan tich
Anapaest,Anapaest
Anarchism,Chu nghia vo chinh phu
Anarchist,Nguoi theo chu nghia vo chinh phu
Anarchy,Tinh trang hon loan
Anathema,Anathema
Anathematize,Toan hoc
Anatomy,Giai phau hoc
Anatto,Ho
Anc,Anc
Ancestor,To tien
Ancestral,To tien
Ancestry,To tien
Anchor,Mo neo
Anchorage,Anchorage
Anchorite,An si
Anchorman,Anchorman
Anchovy,Ca com
Ancien,Co dai
Ancient,Co dai
Ancillary,Phu tro
And,Va
Andante,Andante
Andiron,Andiron
Androgynous,Ai nam ai nu
Android,Android
Anecdote,Giai thoai
Anemia,Thieu mau
Anemic,Thieu mau
Anemometer,May do gio
Anemone,Hai quy
Aneroid,Aneroid
Anesthesia,Gay te
Anesthetic,Thuoc me
Aneurysm,Tui phinh
Anew,Anew
Angel-fish,Ca thien than
Angel,Thien than
Angelic,Thien than
Angelica,Bach chi
Angelus,Angelus
Anger,Su tuc gian
Angina,Dau that nguc
Angiosperm,Hat kin
Angle,Goc
Anglican,Anh giao
Anglicism,Anh giao
Anglicize,Anh hoa
Anglo-,Anglo 
Anglo-catholic,Anh giao
Anglo-french,Anh Phap
Anglo-indian,Anh An
Anglo-norman,Anglo Norman
Anglo-saxon,Anglo saxon
Anglophile,Anglophile
Angora,Angora
Angostura,Angostura
Angry,Tuc gian
Angst,So
Angstrom,Angstrom
Anguish,Dau kho
Angular,Angular
Anhydrous,Khan
Aniline,Aniline
Animadvert,De y
Animal,Dong vat
Animalism,Chu nghia dong vat
Animality,Dong vat
Animalize,Dong vat hoa
Animate,Hoat hinh
Animated,Hoat hinh
Animation,Hoat hinh
Animism,Thuyet duy vat
Animosity,Animosity
Animus,Animus
Anion,Anion
Anise,cay hoi
Aniseed,Hot cay hoi huong
Ankle,Mat ca
Anklet,Vong chan
Ankylosis,Ankylosis
Annals,Bien nien su
Annatto,Annatto
Anneal,Anneal
Annelid,Annelid
Annex,Phu luc
Annexe,Phu luc
Annihilate,Huy diet
Anniversary,Dip ki niem
Anno,Nam
Annotate,Chu thich
Announce,Thong bao
Announcer,Phat thanh vien
Annoy,Lam trai y
Annual,Hang nam
Annualized,Hang nam
Annuity,Nien kim
Annul,Annul
Annular,Annular
Annulate,Tuyen bo
Annunciation,Truyen tin
Anode,Cuc duong
Anodize,Anodize
Anodyne,Giam dau
Anoint,Xuc dau
Anomalous,Di thuong
Anomaly,Nghia bong
Anon.,Anon 
Anon,Anon
Anonymous,Vo danh
Anorak,Anorak
Anorexia,Chan an
Another,Nua
Answer,Cau tra loi
Answerable,Co the tra loi
Answering,Tra loi
Answerphone,Dien thoai tra loi
Ant,Con kien
Antacid,Thuoc khang axit
Antagonism,Doi khang
Antagonist,Doi khang
Antagonize,Antagonize
Antarctic,Nam cuc
Ante-,Theo quan diem cua 
Ante-post,Ante post
Ante-room,Phong cho
Ante,Theo quan diem cua
Anteater,Thu an kien
Antecedent,Tien le
Antechamber,Antechamber
Antedate,Antedate
Antediluvian,Tieng Antediluvian
Antelope,con linh duong
Antenatal,Tien san
Antenna,Ang ten
Antepenultimate,doi phuong
Anterior,Phia truoc
Anthem,Quoc ca
Anther,Bao phan
Anthill,Anthill
Anthology,Tuyen tap
Anthracite,Than antraxit
Anthrax,Benh than
Anthropocentric,Anthropocentric
Anthropoid,Anthropoid
Anthropology,Nhan chung hoc
Anthropomorphism,Nhan loai
Anthropomorphous,Anthropomorphous
Anti-,Chong
Anti-abortion,Chong pha thai
Anti-aircraft,Phong khong
Anti-hero,Phan anh hung
Anti-lock,Chong khoa
Anti-nuclear,Chong hat nhan
Anti-semite,Anti semite
Anti-tank,rac ruoi
Anti,Chong
Antibiotic,Khang sinh
Antibody,Khang the
Antic,Cu
Antichrist,Antichrist
Anticipate,Du doan
Anticlerical,Anticlerical
Anticlimax,Anticlimax
Anticlockwise,Nguoc chieu kim dong ho
Anticyclone,Anticyclone
Antidepressant,Thuoc chong tram cam
Antidote,Thuoc giai doc
Antifreeze,Chat chong dong
Antigen,Khang nguyen
Antihistamine,Thuoc di ung
Antiknock,Chong kich no
Antilog,Antilog
Antilogarithm,Antilogarithm
Antimacassar,Antimacassar
Antimatter,Phan vat chat
Antimony,Antimon
Antinomian,Antinomian
Antinomy,Antinomy
Antinovel,Antinovel
Antiparticle,Phan hat
Antipathy,Ac cam
Antiperspirant,Chat chong mo hoi
Antiphon,Antiphon
Antipodes,Antipodes
Antipope,Antipope
Antipyretic,Ha sot
Antiquarian,Do co
Antiquary,Co vat
Antiquated,Co xua
Antique,Do co
Antiquity,co xua
Antirrhinum,Antirrhinum
Antiseptic,Chat sat trung
Antiserum,Khang huyet thanh
Antisocial,Antisocial
Antistatic,Chong tinh dien
Antitetanus,Antitetanus
Antithesis,Phan de
Antitoxin,Chong doc
Antitrades,Antitrades
Antiviral,Khang vi rut
Antler,Nhung
Antonym,Tu trai nghia
Antrum,Antrum
Anus,Hau mon
Anvil,Anvil
Anxiety,Su lo ngai
Anxious,Lo lang
Any,Khong ti nao
Anybody,Bat ky ai
Anyhow,Du sao di nua
Anyone,Bat cu ai
Anything,Bat cu dieu gi
Anyway,Dau sao thi
Anywhere,Bat cu noi nao
Aob,Aob
Aorta,Dong mach chu
Apace,Apace
Apache,Apache
Apart,Rieng biet
Apartheid,Phan biet chung toc
Apartment,Can ho chung cu
Apathy,Su tho o
Ape,Ape
Apeman,Nguoi vuon
Aperient,Mo
Aperitif,Khai vi
Aperture,Mieng vo
Apex,Dinh
Aphasia,Mat ngon ngu
Aphelion,Aphelion
Aphid,Rep
Aphis,Aphis
Aphorism,Cach ngon
Aphrodisiac,Thuoc kich duc
Apiary,Apiary
Apical,Apical
Apiculture,Nuoi ong
Apiece,Mot manh
Apish,Apish
Aplomb,Aplomb
Apocalypse,tan the
Apocrypha,Nguy tao
Apocryphal,Nguy tao
Apogee,Apogee
Apolitical,Phi chinh tri
Apologetic,Xin loi
Apologia,Xin loi
Apologist,Loi xin loi
Apologize,Xin loi
Apology,Loi xin loi
Apophthegm,Apophthegm
Apoplectic,Mong tinh
Apoplexy,Apoplexy
Apostasy,Boi dao
Apostate,Ke boi dao
Apostle,Tong do
Apostolate,Tong do
Apostolic,Tong do
Apostrophe,Apostrophe
Apothecaries',Apothecaries 
Apothecary,Thuoc bao che
Apotheosis,Apotheosis
Appal,Appal
Apparatus,Dung cu
Apparel,Quan ao
Apparent,Ro rang
Apparition,Su hien ra
Appeal,Bat mat
Appear,Hien ra
Appearance,Ve be ngoai
Appease,Nhan nhuong
Appellant,Nguoi khang cao
Appellate,Phuc tham
Appellation,Ten goi
Appellative,Ten goi
Append,Noi
Appendage,Phan phu
Appendectomy,Cat ruot thua
Appendicitis,Viem ruot thua
Appendix,ruot thua
Appertain,Chac chan
Appetite,Cam giac ngon mieng
Appetizer,Mon khai vi
Appetizing,Ngon mieng
Applaud,Hoan nghenh
Applause,Vo tay
Apple-pie,Banh tao
Apple,Qua tao
Appliance,Thiet bi
Applicable,Ap dung
Applicant,Nguoi xin viec
Application,Dang ki
Applicator,Nguoi ap dung
Applied,Da ap dung
AppliquÃ©,Da ap dung
Apply,Ung dung
Appoint,Bo nhiem
Appointment,Cuoc hen
Apportion,Chia
Apposite,Ket hop
Apposition,Vi tri
Appraisal,Tham dinh
Appraise,Tham dinh
Appreciable,Danh gia cao
Appreciate,Danh gia cao
Appreciation,Su danh gia
Apprehend,Nam bat
Apprehension,Su e ngai
Apprehensive,E so
Apprentice,hoc nghe
Apprise,Cho biet
Appro,Phe duyet
Approach,Cach tiep can
Approachable,De gan
Approbation,Su chap thuan
Appropriate,Phu hop
Approval,Phe duyet
Approve,Chap thuan
Approx.,Khoang
Approximate,Gan dung
Appurtenance,Appurtenance
Apr,Thang tu
Apricot,Qua mo
April,Thang tu
Apron,Tap de
Apropos,Apropos
AprÃ¨s-ski,AprilA�s ski
Apse,Apse
Apsis,Apse
Apt,Dung cach
Aptitude,Nang khieu
Aqua,Aqua
Aqualung,Aqualung
Aquamarine,Aquamarine
Aquaplane,Aquaplane
Aquarelle,Mau nuoc
Aquarium,Be nuoi ca
Aquarius,Bao Binh
Aquatic,Thuy sinh
Aquatint,Aquatint
Aqueduct,Mang dan nuoc
Aqueous,Nuoc
Aquilegia,Chung dau da day
Aquiline,Chim ung
Ar,Voi
Arab,A Rap
Arabesque,Arabesque
Arabian,Nguoi A Rap
Arabic,tieng A Rap
Arable,Co the canh tac
Arachnid,Arachnid
Arak,Ruou bia
Araldite,Araldite
Aramaic,Tieng A ram
Arbiter,Trong tai vien
Arbitrary,Bat ky
Arbitrate,Trong tai
Arbitration,Trong tai
Arbitrator,Trong tai
Arbor,Cay thong
Arboreal,Arboreal
Arborescent,Arborescent
Arboretum,Vuon uom
Arboriculture,Trong trot
Arbour,Cay thong
Arbutus,Cay duong mai
Arc,Ho quang
Arcade,Giai tri
Arcadian,Arcadian
Arcane,Arcane
Arch-,Vom 
Arch-enemy,Ke thu truyen kiep
Archaean,Archaean
Archaeology,Khao co hoc
Archaeopteryx,Archaeopteryx
Archaic,Co xua
Archaism,Co xua
Archangel,Archangel
Archbishop,TGM
Archbishopric,Toa tong giam muc
Archdeacon,Archdeacon
Archdiocese,Tong giao phan
Archduke,Archduke
Archean,Archean
Archeology,Khao co hoc
Archer,Nguoi ban cung
Archery,Ban cung
Archetype,Archetype
